n,rep,n_train,data_seed,fit_seed,data_sha256,seed_and_hash_match,training_xz_sha256,epochs_available,omega_A_11,omega_A_12,omega_A_22,eigenvalue_min,eigenvalue_max,condition_number,omega_moment_11,omega_moment_12,omega_moment_22,se_oracle_A_1,se_oracle_A_moment_1,phi_1_mean,phi_1_min,phi_1_max,v_1_mean,se_oracle_A_2,se_oracle_A_moment_2,phi_2_mean,phi_2_min,phi_2_max,v_2_mean
500,1,400,50760905,51260905,07186b455866b49073d60cc9802ff5f48c8881aeb8da4aebf4cb26e3a7a6f9dd,True,6f08c7fd978733c44105e12497e5f17c3cdb2e72e370d7932869c5111ad65355,3,0.17698228594384921,0.017652684673838896,0.18062082310471178,0.16105537143152135,0.19654773761703964,1.2203736880679521,0.17674699074076203,0.01770193276783193,0.18021136298828477,0.16247359501986214,0.16258907979623857,0.50560692834130494,0.008596055915991543,0.99649520198534858,0.014393071658695139,0.16082878525396688,0.16101869464904708,1.0080923666913295,0.1544870466041334,1.8929074446639893,0.0064878302486058035
500,2,400,50760906,51260906,0b662ac19523ed2889b3077c71c9d322b6c1ac2d4368d58f7509486b9ef32843,True,bacbdb88d1e8bce9be6313eb38349ca378c430677d55ca213a18f0f29465e734,3,0.1673516030259164,0.017157323344320897,0.20874640576768441,0.16116487956728345,0.21493312922631735,1.3336226217734162,0.16968837439757742,0.018302332150184255,0.20873671195396173,0.16697180094866482,0.1659043764811057,0.51251047362353241,0.0044004998249236836,0.98768664155897179,0.052489526376467588,0.14950253840124464,0.14958376776940749,1.0177437377841327,0.11745081666929881,1.8207163158171173,0.022631221811838013
500,3,400,50760907,51260907,272be430285a9081050cf3428e716df06250ce566272b36a49c7319ae16c5c00,True,dae04c671e5f189608d36907df34757772ab680c3294b1eca85a1cefa6659122,3,0.17438691947811835,0.020347414436553253,0.19338974467344022,0.16143183823538101,0.20634482591617756,1.2782164173544857,0.17410352058332265,0.020217648735425073,0.19294707012673626,0.16388750561667936,0.16401182784544399,0.48264814168233655,0.0062209792208608441,0.99330732056407878,0.012351858317663458,0.15562740585037788,0.15579727278639535,0.97896625717841201,0.13526703623557204,1.8606212263090773,-0.0063874732860203223
500,4,400,50760908,51260908,df31a25deed2ec21948f961dc569df7e2a4d86f11608629c6d72817da887528d,True,0a837d37fee6d761a239aa3c1533cb8df045d2568e4f00c0bd1c5f702b202bff,3,0.1878996468908232,0.024792379732520593,0.20303600565146276,0.16954603173576802,0.22138962080651794,1.3057788409435995,0.18747243405534963,0.024879558720431776,0.20305146762874016,0.15819203051114022,0.15838418505549598,0.50652198449503705,0.0050533540787388344,0.98882570643055967,-0.006521984495036999,0.15218121673597484,0.15218696527506512,1.0106376919330056,0.1242546843730806,1.8278049260522069,-0.022870329936537946
500,5,400,50760909,51260909,f5f113ffe37c6a66f157d5902d6d3eb886b0eceec7e63fa250f609c9bfca685b,True,ace380d8d46c0b748959d2a5e556780160108b005a20fa54cdef06d55c9fd017,3,0.16734726908174002,0.014440463014943776,0.17155108473968594,0.15485654217234388,0.18404181164908209,1.1884664933578148,0.16694758484313665,0.014490574061405845,0.17152001104910269,0.16687612967386395,0.16708160187483792,0.47817750834575906,0.0021711639549779017,0.99948035706533511,0.00432249165424095,0.16481881949929866,0.16483950538220485,0.96892401354337865,0.088289314923195666,1.9500016015556056,0.019945024975314574
500,6,400,50760910,51260910,956bf85b0f4610432ed7b33baa1747cd99ee08fe115f51a17472a33191cf9f1b,True,182190372ea997eb9e604d1bebe2c1957f75ee248181a6f18e30c2119cdb788f,3,0.18480808205988219,0.015096660327400068,0.20690621780892116,0.17714910209566037,0.21456519777314298,1.2112124489193175,0.18476865105112547,0.01468038777559303,0.20672801829880352,0.15869314448649915,0.15868468847812614,0.51555697439782788,0.0060386908398288438,0.98815259266065525,-0.020556974397827811,0.14997949077123263,0.15002011599778967,1.0186839539314967,0.13363063003247203,1.8235698464095884,0.018413745800478155
500,7,400,50760911,51260911,9ecfa137ee26905330209ee5b860e4059da89bc34c22ebabd81abb9a738e5206,True,bfa9a529576c61dffe6cc305a17829a2a29775d1f3ed24daca6769b4564afc57,3,0.17902084678904237,0.010258775080170321,0.1881592834696458,0.17235973911507035,0.19482039114361782,1.130312636488457,0.17870558715274951,0.0099459081519996211,0.18831246811694252,0.16100828305194551,0.16113529903177201,0.50099815316221952,0.0014961919608295895,0.99350591285322365,0.011501846837780518,0.15704973108068465,0.15697128625885423,1.0030609299684086,0.076058263118818345,1.8623315607915605,-0.024971641034797577
500,8,400,50760912,51260912,4e7013110c848a4e791c36483904d62cd0b05a46f5187d6837c5c0e9ef13024c,True,69ebacde0a16770e2ea8ad66f9fb5bcadac14ef12fda468c0c2519cc9867da26,3,0.17781722528605975,0.0068118803955159353,0.16886639169950229,0.16519128274309006,0.18149233424247199,1.0986798530085502,0.17788178521774514,0.0068834901149218133,0.16845965864232745,0.16142448848529398,0.16139809368781186,0.50006331081425348,0.0015846098520823895,0.99067733585619067,-0.022563310814253525,0.16564743741060478,0.16585026981052803,1.0011031089874081,0.077823304392562923,1.8402508707410539,-0.0039284757952575203
500,9,400,50760913,51260913,bfa707ba756b604bb7403a854c2e49eb7947700c48d8a71acfb7344535a0fcf1,True,25758f9d08a6709b35efd7af15b94ea80e12e2adbf5b68ce1b9ad37938c3c838,3,0.15874866465398377,0.0094310863423282838,0.21098967322325632,0.15709821048054459,0.21264012739669552,1.3535490108146675,0.15937637421721576,0.0085032879226394926,0.21126019832165713,0.17093967815236902,0.17055928464570641,0.50799091964977816,0.0034379833618214742,0.99340748739481999,0.032009080350221791,0.14827479169616498,0.14814209958312144,1.0118742187339298,0.10626145276282754,1.8614802318071622,-0.028248881065609802
500,10,400,50760914,51260914,daf4bda9b630ee6234bbcc97d3680cd6d153ff2f3c72a437ea0fee22d323a3a0,True,13736d57a0cf8409621c53815260b3196dd7db8d35afe944015f92bb8cf313c7,3,0.17149001748496773,0.016520102177725465,0.19284865722355871,0.16249799655519159,0.20184067815333481,1.2421117948046863,0.17162886043424178,0.016588521696113478,0.19238774612957696,0.16493030758543653,0.1648703718041066,0.47882368554582855,0.0050760908761583075,0.99922622954485452,-0.023823685545828577,0.15552907232028257,0.15572167746689061,0.97071145975268225,0.12448228788272007,1.9414848140385899,-0.0046054911873848114
