n,n_train,epochs,component,Q_available,Q_requested,true_theta,mean_theta_hat,bias,sqrt_n_train_scaled_bias,MC_SD_theta_hat,current_mean_SE,current_mean_T,current_SD_T,current_coverage,current_skewness,current_excess_kurtosis,current_SE_over_MC_SD,current_coverage_MCSE,oracle_A_mean_SE,oracle_A_mean_T,oracle_A_SD_T,oracle_A_coverage,oracle_A_skewness,oracle_A_excess_kurtosis,oracle_A_SE_over_MC_SD,oracle_A_coverage_MCSE,oracle_B_mean_SE,oracle_B_mean_T,oracle_B_SD_T,oracle_B_coverage,oracle_B_skewness,oracle_B_excess_kurtosis,oracle_B_SE_over_MC_SD,oracle_B_coverage_MCSE,oracle_B_SE,Z_MC_mean,Z_MC_sd,Z_MC_skewness,Z_MC_excess_kurtosis,Q_Z_MC_available,oracle_A_moment_mean_SE,oracle_A_moment_coverage,oracle_A_moment_max_abs_relative_SE_change,true_f0,mean_current_fhat0,mean_current_fhat0_over_true_f0
500,400,200,theta_1,200,200,1,0.76709643617272372,-0.23290356382727628,-4.6580712765455257,0.18110892248023769,0.2101937774429154,-1.1970143832500209,0.94968422708983069,0.80000000000000004,-0.44407949638722066,0.3450513978201557,1.160593164402772,0.028284271247461901,0.16245559253150837,-1.4316093565004397,1.11637486100352,0.68000000000000005,-0.055244507940448065,0.053827163559789781,0.89700490901675634,0.032984845004941282,0.16229182574504139,-1.4350911560583779,1.1159460536524972,0.66500000000000004,-0.039452474311113428,-0.031093598839969872,0.89610066429913415,0.033374765916782102,0.16229182574504139,2.9753977059954197e-16,0.99999999999999989,-0.039452474311114066,-0.031093598839969872,200,0.16244957706695978,0.68000000000000005,0.011279131192776126,0.36755259694786135,0.95678809005005983,2.6031324441595052
500,400,200,theta_2,200,200,-1,-0.67535493761301035,0.32464506238698965,6.4929012477397929,0.18544516497818805,0.18829589597868618,1.8269240486800788,1.1828888404755054,0.58499999999999996,0.4968714984547748,0.51147642378915181,1.0153723662778344,0.034840708948010807,0.15693415563676313,2.0654674974419929,1.1796931595476843,0.45500000000000002,-0.12470233297009883,-0.18081398391075831,0.84625638881025356,0.035211858797853886,0.1561544695407891,2.0789994890424128,1.1875751332865174,0.46999999999999997,-0.11134127133785267,-0.22376749820937025,0.84205198641418277,0.035291642070042588,0.15615446954078913,-2.7533531010703882e-16,1,-0.11134127133785264,-0.22376749820937025,200,0.15695540843456426,0.45500000000000002,0.0088098510257286211,0.36755259694786135,0.95678809005005983,2.6031324441595052
500,400,500,theta_1,200,200,1,0.82785814300179483,-0.17214185699820517,-3.4428371399641033,0.2020179426047507,0.26826150608718052,-0.82068548669719343,1.1415012404325298,0.875,-1.1047739644737118,2.9052161629903495,1.3279093066106298,0.023385358667337135,0.16245559253150837,-1.0599813658716919,1.2478985702932044,0.76000000000000001,-0.18216106350502925,-0.27177310988926351,0.80416417688875141,0.030199337741083,0.16229182574504139,-1.0606933294880672,1.2447819948869057,0.755,-0.18250827511306278,-0.32176998237425503,0.80335352222929179,0.030411757594719844,0.16229182574504139,-8.4376949871511898e-17,1,-0.1825082751130625,-0.32176998237425636,200,0.16244957706695978,0.76000000000000001,0.011279131192776126,0.36755259694786135,0.96894285866137408,2.636201911528929
500,400,500,theta_2,200,200,-1,-0.78448116078972818,0.21551883921027182,4.3103767842054364,0.19756620382405934,0.41187657985770398,0.58947068868821095,0.58925125742431783,0.98499999999999999,0.57508010018537836,1.132893945521162,2.0847522090594839,0.0085950567188355451,0.15693415563676313,1.3713912806723241,1.2613032031799933,0.69499999999999995,-0.10548050245867849,-0.13718806865771649,0.79433705056417092,0.032555721463361859,0.1561544695407891,1.3801643964726618,1.2651972396630826,0.68500000000000005,-0.097537271468500511,-0.15679036360930176,0.79039059575113835,0.032846232660687279,0.15615446954078913,9.3258734068513146e-17,0.99999999999999989,-0.097537271468499803,-0.15679036360930265,200,0.15695540843456426,0.69499999999999995,0.0088098510257286211,0.36755259694786135,0.96894285866137408,2.636201911528929
500,400,1000,theta_1,200,200,1,0.84867762822657822,-0.15132237177342178,-3.0264474354684356,0.23764844887231584,0.66183675180516677,-0.51435501577912635,0.98387027313796271,0.94999999999999996,-0.78901133459097261,3.389763009413981,2.7849403391677914,0.015411035007422448,0.16245559253150837,-0.9336757130739699,1.4679649252461571,0.76000000000000001,-0.23612408484066966,0.11100253375633784,0.68359626710121213,0.030199337741083,0.16229182574504139,-0.93240907900775905,1.4643279030310425,0.75,-0.22444509478773694,0.055266109534110264,0.6829071534661596,0.030618621784789725,0.16229182574504139,6.8833827526759705e-17,1,-0.22444509478773653,0.055266109534107599,200,0.16244957706695978,0.76000000000000001,0.011279131192776126,0.36755259694786135,0.7586626909941806,2.0640928598901986
500,400,1000,theta_2,200,200,-1,-0.81709045529365543,0.18290954470634457,3.6581908941268915,0.2177555396258859,0.79954887690480703,0.27986151086223499,0.3638374114219125,1,0.7786213022235644,1.4149434148707396,3.6717728434301558,0,0.15693415563676313,1.162853949997692,1.3870639777953642,0.68500000000000005,0.062485449157286703,-0.31248047245686061,0.72068961325339087,0.032846232660687279,0.1561544695407891,1.1713372357783636,1.3944880365336323,0.68500000000000005,0.070817819018524464,-0.33014441215226054,0.71710905637151512,0.032846232660687279,0.15615446954078913,1.3766765505351941e-16,1,0.070817819018524214,-0.33014441215226098,200,0.15695540843456426,0.68500000000000005,0.0088098510257286211,0.36755259694786135,0.7586626909941806,2.0640928598901986
1000,800,200,theta_1,200,200,1,0.90749687343835828,-0.092503126561641724,-2.6163835229077725,0.13055568509500876,0.14818145365539967,-0.66055403356642084,0.96861361654005207,0.91500000000000004,-0.078466793735130158,-0.10103605059924847,1.1350057528905324,0.019719913792915014,0.11477385139413805,-0.80406181346207861,1.1371189558600301,0.83999999999999997,0.20859702972480426,-0.46612635614957254,0.87911798946644215,0.025922962793631443,0.11475765051546433,-0.80607372272035438,1.1376643257210604,0.83499999999999996,0.20390051498948911,-0.48708040261959296,0.87899389775291836,0.02624642832844119,0.11475765051546429,2.353672812205332e-16,1,0.20390051498948922,-0.4870804026195934,200,0.11478372580330456,0.83999999999999997,0.0042204346513657898,0.36755259694786135,0.75198297266382408,2.045919356598902
1000,800,200,theta_2,200,200,-1,-0.84360108286142355,0.15639891713857645,4.4236293951568149,0.13080283074347837,0.14426160825208209,1.1079169967125286,0.95353302191649381,0.81000000000000005,0.12231732846235623,-0.14412780451451823,1.1028936257121082,0.027739863013360389,0.11077326527765806,1.408431439103029,1.1768428340285324,0.68500000000000005,-0.056229833894810469,-0.15759899037422676,0.84687207951102428,0.032846232660687279,0.11041788432488019,1.4164274029957624,1.1846163467379978,0.68500000000000005,-0.043210596253304999,-0.15604101912647694,0.84415515854870327,0.032846232660687279,0.11041788432488017,4.2188474935755947e-16,1,-0.043210596253304617,-0.15604101912647605,200,0.11077891508837316,0.68500000000000005,0.0036659621215111571,0.36755259694786135,0.75198297266382408,2.045919356598902
1000,800,500,theta_1,200,200,1,0.93382835075259207,-0.066171649247407927,-1.871616876205594,0.14875133025939755,0.23051234470487286,-0.3311382420150315,0.72880050992866663,0.98999999999999999,-0.65415297053921984,1.7937030471995037,1.5496489631581629,0.0070356236397351472,0.11477385139413805,-0.57286367223976242,1.2977867385825805,0.82499999999999996,0.0065374012976882005,-0.025964438971659121,0.77158201673888605,0.026867731575255849,0.11475765051546433,-0.57662080872325705,1.2962214683835167,0.82999999999999996,-0.0057074275689662666,-0.039289440226713879,0.77147310424280646,0.026561249970586856,0.11475765051546429,7.9936057773011268e-17,1,-0.0057074275689659752,-0.039289440226713435,200,0.11478372580330456,0.82499999999999996,0.0042204346513657898,0.36755259694786135,0.5487257412986597,1.4929176010596883
1000,800,500,theta_2,200,200,-1,-0.89341877311468121,0.10658122688531879,3.0145723311116357,0.14040952336860688,0.33982766883566512,0.3275856372589972,0.44269248183400539,1,0.12811751822426476,0.2284406677841786,2.4202608247842301,0,0.11077326527765806,0.95810923048680874,1.2677525380272505,0.77500000000000002,-0.16493351369951312,0.53408362677120014,0.78892985760554923,0.02952752952754429,0.11041788432488019,0.96525329693627437,1.271619395962007,0.77500000000000002,-0.15114477480478369,0.46713014394620922,0.78639882591872468,0.02952752952754429,0.11041788432488017,-2.575717417130363e-16,1,-0.15114477480478355,0.46713014394620789,200,0.11077891508837316,0.77500000000000002,0.0036659621215111571,0.36755259694786135,0.5487257412986597,1.4929176010596883
