omega_11,omega_12,omega_22,batch
0.17683554924724548,0.012484239525084411,0.19164305940369997,1
0.17661358032179697,0.012954221826020743,0.19046342118745629,2
0.17741592863617653,0.01258106161278735,0.19068022678785485,3
0.17641958100596528,0.01393685938502633,0.19086931861921838,4
0.17688686969435785,0.014010907589929464,0.19182752862254648,5
0.17721937869477494,0.013559028615868574,0.19010812313526676,6
0.17671662110740502,0.013253285598136799,0.1908188493851895,7
0.17755872879555637,0.013763877146313098,0.19176470263274914,8
0.17628020622114976,0.013047570065047542,0.19032293030002714,9
0.1770191243820409,0.012182511446401572,0.19103532611137297,10
0.17673612880636794,0.014200565749970388,0.19193213908801821,11
0.17669450353056573,0.014250720250318354,0.1911513259649876,12
0.17737037398348068,0.013696440845194932,0.19149741133168915,13
0.1764487170027933,0.013144562611644295,0.19108683780393021,14
0.17658245682136461,0.012895369207884437,0.18944583759660069,15
0.17697526124349941,0.013088459348217039,0.19058500131276765,16
0.1757220007259718,0.013898465245324733,0.18971711301687127,17
0.17656961254820142,0.013201136727882408,0.19095018659630511,18
0.17649374952231522,0.013714890311781453,0.1915628252729317,19
0.17695028578039051,0.014078518458810129,0.19127083249876364,20
0.17721676823148755,0.013987251271588272,0.19040410213761158,21
0.17672786781993347,0.014388016572561932,0.19094497700133783,22
0.17627675200464757,0.01329508116972395,0.18993493178266468,23
0.1754458285143457,0.013328171040763528,0.18954255413154714,24
0.17658770010226582,0.013810051195404615,0.190629743654712,25
0.17681838289085774,0.01376833958252908,0.19087611349712164,26
0.17669816518424331,0.013627970228092187,0.19010141985494317,27
0.17659432538428391,0.013938993071862461,0.18974006149678341,28
0.17653733998994536,0.012120777984509345,0.19047432467648984,29
0.17682085939467473,0.014772106242215411,0.19119726304061602,30
0.17574779455052186,0.013450639339129806,0.19083168380647519,31
0.17634878724159742,0.012860107312058621,0.19015424240439446,32
0.17691776137357357,0.01279213742897284,0.19002978478311888,33
0.17651189141557755,0.013520869381361449,0.19022250037751001,34
0.17497291158534353,0.013134125555576756,0.19064247477862642,35
0.1761646063007514,0.01257533216505175,0.19067448355467151,36
0.17646914047349882,0.011921654538769269,0.191484062641466,37
0.17697770012499267,0.012831938448048965,0.19103977714569972,38
