case,case_name,replicate,n,n_train,n_validation,n_test,n_eval,tau,epoch,data_seed,init_seed,training_seed,test_seed,eval_seed,theta_error_l2,m_l2_error,q_l2_error,linear_error_mse,nonlinear_error_mse,cross_error_moment,cancellation_fraction,q_mse,decomposition_residual,max_float32_prediction_gap,optimizer_steps,learning_rate,model_instance,fit_calls,theta_hat_1,theta_true_1,theta_error_1,abs_theta_error_1,theta_hat_2,theta_true_2,theta_error_2,abs_theta_error_2,train_check_loss,validation_check_loss,test_check_loss,stopping_validation_check_loss,state_sha256
2,additive,5,1000,800,200,10000,10000,0.5,1,41260909,41760909,1041760909,2041260909,3041260909,1.625125840648079,5.199306756787192,5.367726961177586,0.488832325526126,27.03279075117295,0.6454348265268381,-0.0469038344670369,28.812492729752755,3.552713678800501e-15,1.0679275730396398e-07,7,0.005,1,1,-0.4962444007396698,1.0,-1.4962444007396698,1.4962444007396698,-0.36573925614356995,-1.0,0.63426074385643,0.63426074385643,2.5774645025729166,2.341526394244717,2.5334147962811038,2.3522531986236572,40685da83a57bc6a6318c44cd67924ee002f1d1eff128b5e8093c8c33bca5d1c
2,additive,5,1000,800,200,10000,10000,0.5,2,41260909,41760909,1041760909,2041260909,3041260909,1.6073597055758477,4.436434168690108,4.5597989601139375,0.4617770722571797,19.681948133121093,0.3240206756389397,-0.03217087925250567,20.79176655665615,-3.552713678800501e-15,1.0748937295801397e-07,14,0.005,1,1,-0.4615248441696167,1.0,-1.4615248441696167,1.4615248441696167,-0.3310079574584961,-1.0,0.6689920425415039,0.6689920425415039,2.169703010129673,1.9261632883170565,2.1261909263634027,1.9348877668380737,2d7d601bfd4af84da7ba30ab386dd06e375fe5c0ab0bc73f465c4d455cd85da9
2,additive,5,1000,800,200,10000,10000,0.5,3,41260909,41760909,1041760909,2041260909,3041260909,1.59084578348925,2.711337668528789,2.8162234701402706,0.4422511512644494,7.351351952783129,0.06875576486066397,-0.017644153530208876,7.931114633768908,8.881784197001252e-16,3.270900146290501e-07,21,0.005,1,1,-0.4270446300506592,1.0,-1.4270446300506592,1.4270446300506592,-0.2969111502170563,-1.0,0.7030888497829437,0.7030888497829437,1.3391765790097678,1.144922073824308,1.2955859794367917,1.154098629951477,ea7dd0fef22e23f13cc9b6cbffeda3771f77d37143acf28ac31abcca59e3e74f
2,additive,5,1000,800,200,10000,10000,0.5,4,41260909,41760909,1041760909,2041260909,3041260909,1.575961671038215,2.4849907236379094,2.5748918194874375,0.4303196861778932,6.17517889656646,0.01228464965948737,-0.0037195223057283674,6.630067882063327,-8.881784197001252e-16,5.233044326757863e-07,28,0.005,1,1,-0.39596492052078247,1.0,-1.3959649205207825,1.3959649205207825,-0.268606036901474,-1.0,0.731393963098526,0.731393963098526,1.2024921621873887,1.3105136708823568,1.2222628185972353,1.327604055404663,16c2f0947de68ac41b6b70b6f3f35463f59e9cb100673aa9a3a52a1e093089e6
2,additive,5,1000,800,200,10000,10000,0.5,5,41260909,41760909,1041760909,2041260909,3041260909,1.5662851719514395,1.7072320768731037,1.8028570058659201,0.4248499590918176,2.914641364304451,-0.04459896989821927,0.02671003789455098,3.25029338359983,0.0,5.269820633202471e-07,35,0.005,1,1,-0.3807487189769745,1.0,-1.3807487189769745,1.3807487189769745,-0.2605527639389038,-1.0,0.7394472360610962,0.7394472360610962,0.9395137257310259,0.9335197507749079,0.9359604253723776,0.9353548288345337,0cf64fa7c39c0bbaa87f59c070a3b1b5879d08cf43d534071fb2bbd438b2bf15
2,additive,5,1000,800,200,10000,10000,0.5,6,41260909,41760909,1041760909,2041260909,3041260909,1.5565869696141141,1.6875239331429455,1.7628427641258022,0.4198027912403601,2.8477370249302365,-0.07996260256994911,0.048943613280074134,3.1076146110306984,0.0,2.947654405005551e-07,42,0.005,1,1,-0.36775320768356323,1.0,-1.3677532076835632,1.3677532076835632,-0.25688886642456055,-1.0,0.7431111335754395,0.7431111335754395,0.933832476502569,0.8659159658068941,0.9223401420092754,0.8664694428443909,67f2ebaa5d54f8d98f0ff45af262f9e59eb023bbcca1de55eac0d97f13829ce1
2,additive,5,1000,800,200,10000,10000,0.5,7,41260909,41760909,1041760909,2041260909,3041260909,1.5454379875645348,1.3069432621685115,1.4206655793257508,0.41466210855065255,1.7081006905276708,-0.05223605539867594,0.049215159999370796,2.0182906882809712,0.0,5.292308031812354e-07,49,0.005,1,1,-0.3507927358150482,1.0,-1.3507927358150482,1.3507927358150482,-0.24917541444301605,-1.0,0.750824585556984,0.750824585556984,0.8125277657529406,0.8239824420108455,0.8174690507583,0.8234392404556274,80fea058e9d2aa466adec8ebfa7cc69a0de2f8021ef0f42ed5be93698e32deb4
2,additive,5,1000,800,200,10000,10000,0.5,8,41260909,41760909,1041760909,2041260909,3041260909,1.5338220816916899,1.1334208983632803,1.297262767567349,0.40926072557344284,1.2846429328466256,-0.00550648515178546,0.006501532863942745,1.6828906881164973,-2.220446049250313e-16,5.28518892650709e-07,56,0.005,1,1,-0.33635345101356506,1.0,-1.336353451013565,1.336353451013565,-0.2471589595079422,-1.0,0.7528410404920578,0.7528410404920578,0.7665427987004282,0.8145062789497609,0.7835647008106364,0.8159621953964233,301105e36aba36454099ecf13c0c4fc1dea72915ab136a38997b68f1c5306f2a
2,additive,5,1000,800,200,10000,10000,0.5,9,41260909,41760909,1041760909,2041260909,3041260909,1.5212706485095469,0.985898016394247,1.1479823648184466,0.4028491779644236,0.971994898730111,-0.0284902833801908,0.04144511201399433,1.3178635099341531,0.0,5.10871201342411e-07,63,0.005,1,1,-0.32423895597457886,1.0,-1.3242389559745789,1.3242389559745789,-0.2512306272983551,-1.0,0.7487693727016449,0.7487693727016449,0.7286998436429155,0.7453533003537554,0.7399956125106443,0.7519087791442871,a741f3be40a09ce8d06bbb06efe60e6d86712462dbd38ec58d2be3364f975683
2,additive,5,1000,800,200,10000,10000,0.5,10,41260909,41760909,1041760909,2041260909,3041260909,1.506992997716107,0.9131171565589825,1.0813235061793696,0.39583755895899675,0.8337829416023614,-0.0301799877726565,0.04908829636278582,1.169260525016045,-2.220446049250313e-16,5.272966419056502e-07,70,0.005,1,1,-0.3096426725387573,1.0,-1.3096426725387573,1.3096426725387573,-0.2544371485710144,-1.0,0.7455628514289856,0.7455628514289856,0.7045740537120789,0.7303530965094054,0.7222316271998019,0.7361552119255066,3e9838c6ce0372c8dd156f62c60cd69e1994249b178699a7dee555025eb3c17f
