case,case_name,replicate,n,n_train,n_validation,n_test,n_eval,tau,epoch,data_seed,init_seed,training_seed,test_seed,eval_seed,theta_error_l2,m_l2_error,q_l2_error,linear_error_mse,nonlinear_error_mse,cross_error_moment,cancellation_fraction,q_mse,decomposition_residual,max_float32_prediction_gap,optimizer_steps,learning_rate,model_instance,fit_calls,theta_hat_1,theta_true_1,theta_error_1,abs_theta_error_1,theta_hat_2,theta_true_2,theta_error_2,abs_theta_error_2,train_check_loss,validation_check_loss,test_check_loss,stopping_validation_check_loss,state_sha256
3,deep,1,1000,800,200,10000,10000,0.5,1,51260905,51760905,1051760905,2051260905,3051260905,1.414054114575622,2.2383007497443757,1.7178412546740975,1.0809448189489823,5.009990246306234,-1.5699782444974701,0.5155130460848827,2.9509785762602774,1.3322676295501878e-15,1.1364075147568542e-07,7,0.005,1,1,0.2519114315509796,1.0,-0.7480885684490204,0.7480885684490204,0.1999635547399521,-1.0,1.199963554739952,1.199963554739952,0.9336781918457996,0.9064170332261798,0.8782449552005174,0.9246026277542114,1b96d1eeac988dddcfcdb57bb07b6faf19f7861b2a2666d0d81212821377a557
3,deep,1,1000,800,200,10000,10000,0.5,2,51260905,51760905,1051760905,2051260905,3051260905,1.42349203955569,1.9919501470112078,1.5206533204054797,1.1780334833056134,3.9678653881779726,-1.4167561753116877,0.5506350632589211,2.3123865208602106,-4.440892098500626e-16,1.1404341915266514e-07,14,0.005,1,1,0.28498804569244385,1.0,-0.7150119543075562,0.7150119543075562,0.23088890314102173,-1.0,1.2308889031410217,1.2308889031410217,0.8745047037099275,0.8477121982175242,0.8206206472547403,0.8708157539367676,f54c0c202f2c56c92e3e901a9a8b0eaf453c40af7cf473aaf65f108c6370557b
3,deep,1,1000,800,200,10000,10000,0.5,3,51260905,51760905,1051760905,2051260905,3051260905,1.430387663336702,1.49351488689686,1.237008847264671,1.262420222423634,2.2305867173825407,-0.9814080257975524,0.561927326632801,1.53019088821107,2.220446049250313e-16,1.7790395645533863e-07,21,0.005,1,1,0.3145623803138733,1.0,-0.6854376196861267,0.6854376196861267,0.255461722612381,-1.0,1.255461722612381,1.255461722612381,0.7916335938484371,0.7672891751202144,0.7443425454618666,0.7948528528213501,24d6661ed0b1af5b2291a847c0be2798f9fd99f69480f9ec6811a41ea8de95d1
3,deep,1,1000,800,200,10000,10000,0.5,4,51260905,51760905,1051760905,2051260905,3051260905,1.4235132866574682,1.1063425147943566,1.1477152433244329,1.289246428620379,1.2239937600415012,-0.5979949544513091,0.4758756899949928,1.317250279759262,-2.220446049250313e-16,2.935378651258702e-07,28,0.005,1,1,0.33545005321502686,1.0,-0.6645499467849731,0.6645499467849731,0.2588738799095154,-1.0,1.2588738799095154,1.2588738799095154,0.758675932821821,0.7389680472219713,0.7277951302246878,0.7662065029144287,d2ce84ef064031902965968dcf0900119483be4209a4095e44428a8b7e4223b9
3,deep,1,1000,800,200,10000,10000,0.5,5,51260905,51760905,1051760905,2051260905,3051260905,1.4029003916349367,1.3108667988538838,1.0237677208072984,1.2561508862206117,1.7183717643374286,-0.963211152195535,0.6476408253370202,1.0481003461669705,2.220446049250313e-16,2.4829335920628637e-07,35,0.005,1,1,0.346889853477478,1.0,-0.653110146522522,0.653110146522522,0.24160245060920715,-1.0,1.2416024506092072,1.2416024506092072,0.7264093226521118,0.6997476240097089,0.6909516061525504,0.7218000888824463,8098fc01562d6e09ef510fea194af2c4fedda9ee0c7230a6b5e556a6fee9bb6c
3,deep,1,1000,800,200,10000,10000,0.5,6,51260905,51760905,1051760905,2051260905,3051260905,1.3806411069004978,1.1088975564105978,0.9048664600436571,1.2216128802320578,1.2296537906133949,-0.8162416801667565,0.6659754239511045,0.8187833105119394,-1.1102230246251565e-16,2.8923831241201015e-07,42,0.005,1,1,0.3595792353153229,1.0,-0.6404207646846771,0.6404207646846771,0.22312350571155548,-1.0,1.2231235057115555,1.2231235057115555,0.6901915130614853,0.6681542294053128,0.6640060499512731,0.6921983957290649,6cd781e3002c75a190ae61fee7225c83eea125598cbb81e2c0a04a210b46cacb
3,deep,1,1000,800,200,10000,10000,0.5,7,51260905,51760905,1051760905,2051260905,3051260905,1.3552884097950317,0.9303735883709978,0.841737724632116,1.1786960743198085,0.8655950139383268,-0.6678843455946417,0.6534141340543839,0.708522397068852,1.1102230246251565e-16,2.915250760793242e-07,49,0.005,1,1,0.3720661699771881,1.0,-0.6279338300228119,0.6279338300228119,0.20104362070560455,-1.0,1.2010436207056046,1.2010436207056046,0.6688221413504186,0.6573580166937333,0.6521504312191848,0.6815546154975891,c9b1122f183f1acd3e57341e70073c38feb3377dbcafaa84b8d33d56020a2e62
3,deep,1,1000,800,200,10000,10000,0.5,8,51260905,51760905,1051760905,2051260905,3051260905,1.328611732418853,0.9409217235150442,0.8062267234492629,1.1352487530860427,0.8853336897825212,-0.6852904566324148,0.6783098200729956,0.6500015296037344,-1.1102230246251565e-16,2.90882923081881e-07,56,0.005,1,1,0.385631263256073,1.0,-0.614368736743927,0.614368736743927,0.17803233861923218,-1.0,1.1780323386192322,1.1780323386192322,0.6591831279218928,0.6463801541484644,0.6448209819245145,0.6670863628387451,a39dac63c886be89ff97229da92b766eb361b449592e1930eae5e1e5208ed1c8
3,deep,1,1000,800,200,10000,10000,0.5,9,51260905,51760905,1051760905,2051260905,3051260905,1.3021347708967257,0.9336867631756683,0.770343847720366,1.0958853848847152,0.8717709717294565,-0.6871133564467767,0.6984078842192966,0.5934296437206185,1.1102230246251565e-16,2.8674781304971475e-07,63,0.005,1,1,0.4005484879016876,1.0,-0.5994515120983124,0.5994515120983124,0.1559467315673828,-1.0,1.1559467315673828,1.1559467315673828,0.651477334767408,0.6421862138099946,0.6345061712827599,0.6652528047561646,eef1b755bec2439f83bdf5166f03a6086c63cdd38d7bdc66b70d3bcc9419b3ff
3,deep,1,1000,800,200,10000,10000,0.5,10,51260905,51760905,1051760905,2051260905,3051260905,1.2748397623203596,0.8875556734747354,0.7710923996488893,1.058794898097404,0.7877550735171912,-0.6259832414091564,0.6780030338001697,0.5945834887962824,0.0,2.8764619308674355e-07,70,0.005,1,1,0.41731905937194824,1.0,-0.5826809406280518,0.5826809406280518,0.13388682901859283,-1.0,1.1338868290185928,1.1338868290185928,0.6465835427595934,0.6424073083314741,0.6362496022304432,0.6648039817810059,c6c74e0f7b80e94e578d4c66b82ef5d09d8e26d74dc168d362b7d20588c68374
3,deep,1,1000,800,200,10000,10000,0.5,11,51260905,51760905,1051760905,2051260905,3051260905,1.2473465763049676,0.9963489704580389,0.7512845728593149,1.0166041710638907,0.9927112709327941,-0.7224434662901407,0.719094126477462,0.5644285094164032,0.0,2.7690239878808143e-07,77,0.005,1,1,0.43141651153564453,1.0,-0.5685834884643555,0.5685834884643555,0.11021903157234192,-1.0,1.110219031572342,1.110219031572342,0.6401621913557016,0.6339993932238324,0.6311480500294275,0.6559547185897827,2d78ee09cb30194c2582f8618c2bc14777b085f77f98a198d06e0fcac5a69115
3,deep,1,1000,800,200,10000,10000,0.5,12,51260905,51760905,1051760905,2051260905,3051260905,1.2210472898720497,0.8786398567468019,0.7480666285292352,0.9878019755226138,0.7720079978640405,-0.6001031463337787,0.6820090298487334,0.5596036807190967,-2.220446049250313e-16,2.788896997785173e-07,84,0.005,1,1,0.45053336024284363,1.0,-0.5494666397571564,0.5494666397571564,0.09043243527412415,-1.0,1.0904324352741241,1.0904324352741241,0.6360379927077257,0.634631214963094,0.6312285464925024,0.6566243171691895,94d2b3dec1263db00b019721aad301cba9a3eacb0ffb7aa982b92b4b0832af29
3,deep,1,1000,800,200,10000,10000,0.5,13,51260905,51760905,1051760905,2051260905,3051260905,1.1943713779213576,0.9768903172147319,0.7189800224665834,0.9508012832980035,0.9543146918678994,-0.6940918512299271,0.7286609952126233,0.5169322727060488,0.0,2.7406678348995683e-07,91,0.005,1,1,0.46557924151420593,1.0,-0.5344207584857941,0.5344207584857941,0.06813737004995346,-1.0,1.0681373700499535,1.0681373700499535,0.6312437641009712,0.6317496048473699,0.6234175130242939,0.6535301208496094,1ac56324445aeab8a87e6e07586719869b631735828d4febcd3fec860c8f4fe0
3,deep,1,1000,800,200,10000,10000,0.5,14,51260905,51760905,1051760905,2051260905,3051260905,1.168963560997909,0.9502619976476923,0.7238955427093224,0.9251159794389976,0.9029978641733827,-0.652044543428978,0.7133522299032846,0.5240247567544245,2.220446049250313e-16,2.739020823483429e-07,98,0.005,1,1,0.4847729206085205,1.0,-0.5152270793914795,0.5152270793914795,0.049293506890535355,-1.0,1.0492935068905354,1.0492935068905354,0.62721168893759,0.6291943977887857,0.6266029237803415,0.6494159698486328,ec9d4fcdf72474914fdf13c03b9c96a9c50804e19c3d90121ebab0ce1904e379
3,deep,1,1000,800,200,10000,10000,0.5,15,51260905,51760905,1051760905,2051260905,3051260905,1.1428480866101738,0.9262141427846281,0.7056003719517786,0.8994967683519947,0.8578726382942635,-0.629748760873885,0.7166948035993066,0.4978718848984883,1.1102230246251565e-16,2.694455822904729e-07,105,0.005,1,1,0.5047868490219116,1.0,-0.4952131509780884,0.4952131509780884,0.029983341693878174,-1.0,1.0299833416938782,1.0299833416938782,0.6212545855534949,0.6272193523946424,0.6220906341008624,0.6479917764663696,630a1f7173d96a6bc3cb6e20239d806449eaec497433b1f002fc98c224f97154
3,deep,1,1000,800,200,10000,10000,0.5,16,51260905,51760905,1051760905,2051260905,3051260905,1.116920528574177,0.893454847456073,0.7087602677065928,0.8707873824535843,0.7982615644427545,-0.5833539149084088,0.6990255330656157,0.5023411170795211,0.0,2.6838733457879016e-07,112,0.005,1,1,0.522653341293335,1.0,-0.47734665870666504,0.47734665870666504,0.00977801252156496,-1.0,1.009778012521565,1.009778012521565,0.6184330908270526,0.6289599213831077,0.6225365928393234,0.6502430438995361,e7c2a845923766d2a884f3a47b937a688a0edfd037b8bcd66b61cc3dd4964444
3,deep,1,1000,800,200,10000,10000,0.5,17,51260905,51760905,1051760905,2051260905,3051260905,1.0900815642052166,1.021843725106273,0.6989121000326602,0.837591135428316,1.0441645985390644,-0.6966388051976586,0.7404136388402627,0.4884781235720633,3.3306690738754696e-16,2.6940041042422536e-07,119,0.005,1,1,0.5388770699501038,1.0,-0.46112293004989624,0.46112293004989624,-0.01225334219634533,-1.0,0.9877466578036547,0.9877466578036547,0.6149292859799971,0.623785450199069,0.6200352305377882,0.6436007022857666,207f65df9f89e86d97b35fbff4d52f1054e51aa40cd627f67fba25332a386a11
3,deep,1,1000,800,200,10000,10000,0.5,18,51260905,51760905,1051760905,2051260905,3051260905,1.065849482203428,0.8901202413271668,0.6857347404337452,0.8172626058249197,0.7923140440203337,-0.5696722578037589,0.7078535313723989,0.4702321342377358,2.220446049250313e-16,2.700856978066213e-07,126,0.005,1,1,0.5589587092399597,1.0,-0.4410412907600403,0.4410412907600403,-0.029681650921702385,-1.0,0.9703183490782976,0.9703183490782976,0.6092854343356536,0.623197157730445,0.6178206252336151,0.6437171697616577,78b400caae22719f6a4079b52da7a3b4efd7f469725594e9394738bab2028338
3,deep,1,1000,800,200,10000,10000,0.5,19,51260905,51760905,1051760905,2051260905,3051260905,1.040560577631892,0.9739138882284006,0.6879902554038853,0.7935537775548405,0.9485082616841617,-0.6343657238541492,0.7282929190412345,0.4733305915307033,-2.7755575615628914e-16,2.7113078271412405e-07,133,0.005,1,1,0.5783350467681885,1.0,-0.4216649532318115,0.4216649532318115,-0.048703525215387344,-1.0,0.9512964747846127,0.9512964747846127,0.6050853805971214,0.6197122154383138,0.6180286058529552,0.639325737953186,d01b48e0695d5ecbafe64cba890647c722cdc2b915b340d3c36041c761f2d9d0
